date,cases_daily,deaths_daily,cases_ma7,deaths_ma7,cCFR,mCFR,BrtaCFR_mean_raw,BrtaCFR_lower_raw,BrtaCFR_upper_raw,BrtaCFR_mean_smooth,BrtaCFR_lower_smooth,BrtaCFR_upper_smooth
2021-08-19,25328.0,33.0,19937.285714285714,25.142857142857142,0.012656649874240124,0.015500563881715263,0.002498862027945457,0.0012298693095694978,0.004392472246261696,0.003827120352621057,0.0018004337440043988,0.007155237135894181
2021-08-20,24955.0,29.0,20575.14285714286,25.714285714285715,0.01242759288154379,0.015326135825434063,0.0026522402357983554,0.001400814430989284,0.004452687976699261,0.003907457341151896,0.0018384150839000238,0.007306694750373236
2021-08-21,25144.0,33.0,21293.85714285714,28.0,0.012208811699667615,0.015150581365538603,0.0029610167604366294,0.00152168942816825,0.005136890326407027,0.003993152490975346,0.0018785858643750124,0.00746913513869073
2021-08-22,22914.0,35.0,22258.14285714286,31.857142857142858,0.01202059134757358,0.014972326097545343,0.003410717800366554,0.0017221935094145853,0.006169037211391837,0.004084116917881355,0.0019208982164208676,0.007642405741678752
2021-08-23,17993.0,32.0,22628.714285714286,33.142857142857146,0.011880805100334131,0.014787918726164813,0.0038526135567423982,0.001970094714362245,0.006951679050367637,0.004180252357021451,0.0019653009519965013,0.007826333599603306
2021-08-24,20769.0,30.0,22848.428571428572,32.285714285714285,0.011718942524684231,0.014599806404333613,0.004143324102716175,0.0022265207908109623,0.007109114423380865,0.004281449607200114,0.002011738896898974,0.008020722235105039
2021-08-25,23698.0,44.0,22971.571428571428,33.714285714285715,0.01154744748358541,0.014423372841341259,0.004043035283712993,0.002262594733893287,0.0065636015623728484,0.004387586927712218,0.00206015219675946,0.008225348458104562
2021-08-26,26050.0,60.0,23074.714285714286,37.57142857142857,0.011374060201805506,0.014259970999679456,0.0036352971615790475,0.0020614413707167618,0.006115238027516081,0.004498528410973992,0.002110475606115952,0.00843995913936409
2021-08-27,22580.0,54.0,22735.428571428572,41.142857142857146,0.01123035873950187,0.01408974471621918,0.0034638511597210506,0.001694038171570112,0.006184644745785363,0.004614122356791521,0.0021626377717940287,0.00866426800412706
2021-08-28,22927.0,45.0,22418.714285714286,42.857142857142854,0.011082225006257107,0.013911000267067,0.0033559092367022466,0.001748861127988182,0.006061375978252054,0.004734199676425446,0.002216560522985868,0.008897952501423735
2021-08-29,19994.0,50.0,22001.571428571428,45.0,0.010964250328150538,0.013737015065022255,0.003412366356404917,0.0016883725897107605,0.005853896988180766,0.004858572356571862,0.0022721581814209866,0.009140650808102044
2021-08-30,14963.0,48.0,21568.714285714286,47.285714285714285,0.01088526303897161,0.013563012523179437,0.003382324024235729,0.0015884113794161175,0.006244227224780652,0.004987032014919136,0.0023293369058362255,0.009391959029293764
2021-08-31,16826.0,47.0,21005.428571428572,49.714285714285715,0.01079364694862975,0.013391173869744078,0.0033552681097975285,0.0016039270168216292,0.006384418173745791,0.005119348579994451,0.0023879940855459276,0.009651428658739976
2021-09-01,21070.0,82.0,20630.0,55.142857142857146,0.01069716339066176,0.013251553546949887,0.003274768296278945,0.0016276711661598576,0.005992050485140208,0.005255269128525314,0.0024480177982576425,0.0099185643630722
2021-09-02,17456.0,61.0,19402.285714285714,55.285714285714285,0.010614700284256741,0.0130977592799955,0.003324558242329965,0.0016608601770753272,0.00569281782399112,0.005394516913460604,0.0025092863473492625,0.010192822153687978
2021-09-03,16850.0,63.0,18583.714285714286,56.57142857142857,0.010539542583722125,0.012949395206532875,0.003830193873950475,0.001928487578281003,0.006961946399527779,0.005536790615083691,0.002571667893600299,0.010473608008201142
2021-09-04,15469.0,66.0,17518.285714285714,59.57142857142857,0.010477219930417335,0.01280762957267795,0.004722122216181058,0.0022371273445145924,0.009121111385238396,0.005681763846278468,0.002635020195838193,0.010760277000538592
2021-09-05,14374.0,41.0,16715.428571428572,58.285714285714285,0.010407472201027002,0.012651148404400554,0.005835752509804905,0.0030189821277882174,0.010228226470536075,0.00582908494096261,0.0026991904741116104,0.011052132994571312
